valences,words
-2,abandon
-2,abandoned
-2,abandons
-2,abducted
-2,abduction
-2,abductions
-3,abhor
-3,abhorred
-3,abhorrent
-3,abhors
2,abilities
2,ability
1,aboard
-1,absentee
-1,absentees
2,absolve
2,absolved
2,absolves
2,absolving
1,absorbed
-3,abuse
-3,abused
-3,abuses
-3,abusive
1,accept
1,accepted
1,accepting
1,accepts
-2,accident
-2,accidental
-2,accidentally
-2,accidents
2,accomplish
2,accomplished
2,accomplishes
-2,accusation
-2,accusations
-2,accuse
-2,accused
-2,accuses
-2,accusing
-2,ache
1,achievable
-2,aching
2,acquit
2,acquits
2,acquitted
2,acquitting
-3,acrimonious
1,active
1,adequate
3,admire
3,admired
3,admires
3,admiring
-1,admit
-1,admits
-1,admitted
-2,admonish
-2,admonished
1,adopt
1,adopts
3,adorable
3,adore
3,adored
3,adores
1,advanced
2,advantage
2,advantages
2,adventure
2,adventures
2,adventurous
-1,affected
3,affection
3,affectionate
-1,afflicted
-1,affronted
-2,afraid
-2,aggravate
-2,aggravated
-2,aggravates
-2,aggravating
-2,aggression
-2,aggressions
-2,aggressive
-2,aghast
2,agog
-3,agonise
-3,agonised
-3,agonises
-3,agonising
-3,agonize
-3,agonized
-3,agonizes
-3,agonizing
1,agree
2,agreeable
1,agreed
1,agreement
1,agrees
-2,alarm
-2,alarmed
-2,alarmist
-2,alarmists
-1,alas
-1,alert
-2,alienation
1,alive
-2,allergic
1,allow
-2,alone
2,amaze
2,amazed
2,amazes
4,amazing
2,ambitious
-1,ambivalent
3,amuse
3,amused
3,amusement
3,amusements
-3,anger
-3,angers
-3,angry
-3,anguish
-3,anguished
-2,animosity
-2,annoy
-2,annoyance
-2,annoyed
-2,annoying
-2,annoys
-2,antagonistic
-1,anti
1,anticipation
-2,anxiety
-2,anxious
-3,apathetic
-3,apathy
-3,apeshit
-2,apocalyptic
-1,apologise
-1,apologised
-1,apologises
-1,apologising
-1,apologize
-1,apologized
-1,apologizes
-1,apologizing
-1,apology
-2,appalled
-2,appalling
2,appease
2,appeased
2,appeases
2,appeasing
2,applaud
2,applauded
2,applauding
2,applauds
2,applause
2,appreciate
2,appreciated
2,appreciates
2,appreciating
2,appreciation
-2,apprehensive
2,approval
2,approved
2,approves
1,ardent
-2,arrest
-3,arrested
-2,arrests
-2,arrogant
-2,ashame
-2,ashamed
-4,ass
-3,assassination
-3,assassinations
2,asset
2,assets
-4,assfucking
-4,asshole
2,astonished
3,astound
3,astounded
3,astounding
3,astoundingly
3,astounds
-1,attack
-1,attacked
-1,attacking
-1,attacks
1,attract
1,attracted
2,attracting
2,attraction
2,attractions
1,attracts
3,audacious
1,authority
-1,avert
-1,averted
-1,averts
2,avid
-1,avoid
-1,avoided
-1,avoids
-1,await
-1,awaited
-1,awaits
3,award
3,awarded
3,awards
4,awesome
-3,awful
-2,awkward
-1,axe
-1,axed
1,backed
2,backing
1,backs
-3,bad
-3,badass
-3,badly
-2,bailout
-2,bamboozle
-2,bamboozled
-2,bamboozles
-2,ban
-1,banish
-3,bankrupt
-3,bankster
-2,banned
2,bargain
-2,barrier
-5,bastard
-5,bastards
-1,battle
-1,battles
-2,beaten
3,beatific
-1,beating
3,beauties
3,beautiful
3,beautifully
3,beautify
-2,belittle
-2,belittled
3,beloved
2,benefit
2,benefits
2,benefitted
2,benefitting
-2,bereave
-2,bereaved
-2,bereaves
-2,bereaving
3,best
-3,betray
-3,betrayal
-3,betrayed
-3,betraying
-3,betrays
2,better
-1,bias
-2,biased
1,big
-5,bitch
-5,bitches
-2,bitter
-2,bitterly
-2,bizarre
-2,blah
-2,blame
-2,blamed
-2,blames
-2,blaming
2,bless
2,blesses
3,blessing
-1,blind
3,bliss
3,blissful
2,blithe
-1,block
3,blockbuster
-1,blocked
-1,blocking
-1,blocks
-3,bloody
-2,blurry
-2,boastful
2,bold
2,boldly
-1,bomb
1,boost
1,boosted
1,boosting
1,boosts
-2,bore
-2,bored
-3,boring
-2,bother
-2,bothered
-2,bothers
-2,bothersome
-2,boycott
-2,boycotted
-2,boycotting
-2,boycotts
-3,brainwashing
2,brave
3,breakthrough
5,breathtaking
-3,bribe
1,bright
2,brightest
1,brightness
4,brilliant
2,brisk
-1,broke
-1,broken
-2,brooding
-2,bullied
-4,bullshit
-2,bully
-2,bullying
-2,bummer
2,buoyant
-2,burden
-2,burdened
-2,burdening
-2,burdens
2,calm
2,calmed
2,calming
2,calms
-3,can't stand
-1,cancel
-1,cancelled
-1,cancelling
-1,cancels
-1,cancer
1,capable
3,captivated
2,care
1,carefree
2,careful
2,carefully
-2,careless
2,cares
-2,cashing in
